ValuationDate,PolicyNumber,ISIN,SEDOL,HoldingName,HoldingReference,HoldingCurrency_x,HoldingMarketValueHoldingCurrency_x,Units,UnitPrice,HoldingMarketValuePolicyCurrency_x,BookCost,GainLoss,HoldingCurrency_y,HoldingMarketValueHoldingCurrency_y,HoldingMarketValuePolicyCurrency_y,BrokerID,Product,PolicyCurrency,PolicyStatus,PolicyStartDate,SurrenderPenalty,SurrenderValue,RegularContribution,ContributionFrequency,PolicyTerm,PolicyEndDate,TotalContribution,Withdrawals,LastContributionDate,NextContributionDate,PolicyBasis,SubPolicies,TransactionDate,TransactionName,TransactionComments,TransactionDebitAmount,TransactionCreditAmount,TransactionCurrency
2023-07-11,PM10001425,LU2530218457,BQPB2Z8,Aberdeen Standard SICAV II - Global Smaller Companies Fund GBP,PM10001425-Aberdeen Standard SICAV II - Global Smaller Companies Fund GBP,GBP,9424.42,815.043,11.5631,9424.42,12695.8,-0.2576741914648939,GBP,4837.87,4837.87,23562,PIMS Flexible,GBP,Active,2013-04-11,,,0.0,Single Payment,,,100607.0,12449.0,2013-04-11,,Life Assurance - Single,100,2023-07-11,Admin Fee,Flat Administration Fee,129.47,0.0,GBP
2023-07-11,PM10001425,LU2530218457,BQPB2Z8,Aberdeen Standard SICAV II - Global Smaller Companies Fund GBP,PM10001425-Aberdeen Standard SICAV II - Global Smaller Companies Fund GBP,GBP,9424.42,815.043,11.5631,9424.42,12695.8,-0.2576741914648939,GBP,4837.87,4837.87,23562,PIMS Flexible,GBP,Active,2013-04-11,,,0.0,Single Payment,,,100607.0,12449.0,2013-04-11,,Life Assurance - Single,100,2023-07-11,Investment Advisor Fee,Investment Advisor Fee,291.56,0.0,GBP
2023-07-11,PM10001425,IE00BD0NC474,BD0NC47,iShares UK Credit Bond Index Fund (IE) D Acc GBP,PM10001425-iShares UK Credit Bond Index Fund (IE) D Acc GBP,GBP,15126.57,1625.29,9.307,15126.57,18484.57,-0.1816650319699079,GBP,4837.87,4837.87,23562,PIMS Flexible,GBP,Active,2013-04-11,,,0.0,Single Payment,,,100607.0,12449.0,2013-04-11,,Life Assurance - Single,100,2023-07-11,Admin Fee,Flat Administration Fee,129.47,0.0,GBP
2023-07-11,PM10001425,IE00BD0NC474,BD0NC47,iShares UK Credit Bond Index Fund (IE) D Acc GBP,PM10001425-iShares UK Credit Bond Index Fund (IE) D Acc GBP,GBP,15126.57,1625.29,9.307,15126.57,18484.57,-0.1816650319699079,GBP,4837.87,4837.87,23562,PIMS Flexible,GBP,Active,2013-04-11,,,0.0,Single Payment,,,100607.0,12449.0,2013-04-11,,Life Assurance - Single,100,2023-07-11,Investment Advisor Fee,Investment Advisor Fee,291.56,0.0,GBP
2023-07-11,PM10001425,IE00B579F325,B4PYKC6,Invesco Physical Gold ETC GBP LN,PM10001425-Invesco Physical Gold ETC GBP LN,GBP,6076.98,42.0,144.69,6076.98,5479.48,0.10904319387971118,GBP,4837.87,4837.87,23562,PIMS Flexible,GBP,Active,2013-04-11,,,0.0,Single Payment,,,100607.0,12449.0,2013-04-11,,Life Assurance - Single,100,2023-07-11,Admin Fee,Flat Administration Fee,129.47,0.0,GBP
2023-07-11,PM10001425,IE00B579F325,B4PYKC6,Invesco Physical Gold ETC GBP LN,PM10001425-Invesco Physical Gold ETC GBP LN,GBP,6076.98,42.0,144.69,6076.98,5479.48,0.10904319387971118,GBP,4837.87,4837.87,23562,PIMS Flexible,GBP,Active,2013-04-11,,,0.0,Single Payment,,,100607.0,12449.0,2013-04-11,,Life Assurance - Single,100,2023-07-11,Investment Advisor Fee,Investment Advisor Fee,291.56,0.0,GBP
2023-07-11,PM10001425,IE00BL25JM42,BRCJ8L0,xTrackers MSCI World Value UCITS ETF GBP,PM10001425-xTrackers MSCI World Value UCITS ETF GBP,GBP,11502.39,381.0,30.19,11502.39,11287.97,0.018995443822051206,GBP,4837.87,4837.87,23562,PIMS Flexible,GBP,Active,2013-04-11,,,0.0,Single Payment,,,100607.0,12449.0,2013-04-11,,Life Assurance - Single,100,2023-07-11,Admin Fee,Flat Administration Fee,129.47,0.0,GBP
2023-07-11,PM10001425,IE00BL25JM42,BRCJ8L0,xTrackers MSCI World Value UCITS ETF GBP,PM10001425-xTrackers MSCI World Value UCITS ETF GBP,GBP,11502.39,381.0,30.19,11502.39,11287.97,0.018995443822051206,GBP,4837.87,4837.87,23562,PIMS Flexible,GBP,Active,2013-04-11,,,0.0,Single Payment,,,100607.0,12449.0,2013-04-11,,Life Assurance - Single,100,2023-07-11,Investment Advisor Fee,Investment Advisor Fee,291.56,0.0,GBP
2023-07-11,PM10001425,LU1861138961,BKTHWG1,Amundi Index MSCI Emerging Markets ETF GBP,PM10001425-Amundi Index MSCI Emerging Markets ETF GBP,GBP,7012.28,171.0,41.0075,7012.28,7208.41,-0.027208496741999988,GBP,4837.87,4837.87,23562,PIMS Flexible,GBP,Active,2013-04-11,,,0.0,Single Payment,,,100607.0,12449.0,2013-04-11,,Life Assurance - Single,100,2023-07-11,Admin Fee,Flat Administration Fee,129.47,0.0,GBP
2023-07-11,PM10001425,LU1861138961,BKTHWG1,Amundi Index MSCI Emerging Markets ETF GBP,PM10001425-Amundi Index MSCI Emerging Markets ETF GBP,GBP,7012.28,171.0,41.0075,7012.28,7208.41,-0.027208496741999988,GBP,4837.87,4837.87,23562,PIMS Flexible,GBP,Active,2013-04-11,,,0.0,Single Payment,,,100607.0,12449.0,2013-04-11,,Life Assurance - Single,100,2023-07-11,Investment Advisor Fee,Investment Advisor Fee,291.56,0.0,GBP
