"System_Dt","Policy_No","Cash_Tran_Deal_Ref","TransactionID","Cash_Tran_Date","Cash_Tran_Description_ID","Cash_Tran_Description","Cash_Tran_Narrative","Cash_Tran_Debit_Amt","Cash_Tran_Credit_Amt","Cash_Tran_Curr_ID","Cash_Tran_Curr","Cash_Tran_FX_Rate","Asset_Tran_Ref"
"2023-09-28","PG00066915","519903","4656689","2010-04-16","11","Buy Currency","FX Deal: Sell GBP 71,554.57 & Buy USD 109,000.00 (Rate: 1.523313)","0.000000","109000.000000","16","USD","0.656460000000000000","Bank Reference: 8364485"
"2023-09-28","PG00066915","497161","4656688","2010-04-16","13","Buy Variable Security","Buy 81888.281 units of Ascenta Special Situations Resource USD","109000.000000","0.000000","16","USD","1.000000000000000000",""
"2023-09-28","PG00066915","454605","4656690","2011-01-06","83","Sell Variable Security","Sell 81888.281 units of Ascenta Special Situations Resource USD","0.000000","122398.410000","16","USD","1.000000000000000000","BC"
"2023-09-28","PG00066915","","4656691","2011-01-10","59","Misc Income","Bank Charge Ascenta Deal","65.000000","0.000000","16","USD","",""
"2023-09-28","PG00066915","522227","4656692","2011-03-02","11","Buy Currency","FX Deal: Sell USD 122,333.41 & Buy GBP 74,194.30 (Rate: 0.606492)","122333.410000","0.000000","16","USD","1.648830000000000000","Bank Reference: 4227599hy"
"2023-09-28","PG00066915","","4656694","2009-05-26","68","Premium Received","Premium_Received","0.000000","1858.380000","8","GBP","",""
"2023-09-28","PG00066915","","4656693","2009-05-26","68","Premium Received","Premium_Received","0.000000","70500.000000","8","GBP","",""
"2023-09-28","PG00066915","","4656695","2009-06-17","90","Telegraphic Transfer Charges","Asset trade ref 19824","20.000000","0.000000","8","GBP","",""
"2023-09-28","PG00066915","483338","4656696","2009-06-18","10","Buy Bond","Buy 65000 units of Armajaro 5 Year FTSE Growth Note","65000.000000","0.000000","8","GBP","1.000000000000000000",""
"2023-09-28","PG00066915","","4656700","2009-06-30","6","Admin Fee","Flat Administration Fee","75.000000","0.000000","8","GBP","",""
"2023-09-28","PG00066915","","4656699","2009-06-30","47","Investment Advisor Fee","Investment Advisor Fee","68.520000","0.000000","8","GBP","",""
"2023-09-28","PG00066915","","4656698","2009-06-30","56","Management Fee","Percentage Administration Fee","101.680000","0.000000","8","GBP","",""
"2023-09-28","PG00066915","","4656697","2009-06-30","43","Interest","Interest","0.000000","9.710000","8","GBP","",""
"2023-09-28","PG00066915","","4656704","2009-09-30","47","Investment Advisor Fee","Investment Advisor Fee","188.720000","0.000000","8","GBP","",""
"2023-09-28","PG00066915","","4656703","2009-09-30","56","Management Fee","Percentage Administration Fee","264.380000","0.000000","8","GBP","",""
"2023-09-28","PG00066915","","4656702","2009-09-30","6","Admin Fee","Flat Administration Fee","75.000000","0.000000","8","GBP","",""
"2023-09-28","PG00066915","","4656701","2009-09-30","43","Interest","Interest","0.000000","2.500000","8","GBP","",""
"2023-09-28","PG00066915","","4656708","2009-12-31","56","Management Fee","Percentage Administration Fee","264.380000","0.000000","8","GBP","",""
"2023-09-28","PG00066915","","4656707","2009-12-31","6","Admin Fee","Flat Administration Fee","75.000000","0.000000","8","GBP","",""
"2023-09-28","PG00066915","","4656706","2009-12-31","47","Investment Advisor Fee","Investment Advisor Fee","188.850000","0.000000","8","GBP","",""
"2023-09-28","PG00066915","","4656705","2009-12-31","43","Interest","Interest","0.000000","2.320000","8","GBP","",""
"2023-09-28","PG00066915","495336","4656709","2010-03-12","80","Sell Bond","Sell 65000 units of Armajaro 5 Year FTSE Growth Note","0.000000","70993.000000","8","GBP","1.000000000000000000",""
"2023-09-28","PG00066915","","4656713","2010-03-31","6","Admin Fee","Flat Administration Fee","75.000000","0.000000","8","GBP","",""
"2023-09-28","PG00066915","","4656712","2010-03-31","47","Investment Advisor Fee","Investment Advisor Fee","191.980000","0.000000","8","GBP","",""
"2023-09-28","PG00066915","","4656711","2010-03-31","56","Management Fee","Percentage Administration Fee","264.380000","0.000000","8","GBP","",""
"2023-09-28","PG00066915","","4656710","2010-03-31","43","Interest","Interest","0.000000","10.280000","8","GBP","",""
"2023-09-28","PG00066915","519903","4656714","2010-04-16","11","Buy Currency","FX Deal: Sell GBP 71,554.57 & Buy USD 109,000.00 (Rate: 1.523313)","71554.570000","0.000000","8","GBP","0.656460000000000000","Bank Reference: 8364485"
"2023-09-28","PG00066915","","4656715","2010-05-06","90","Telegraphic Transfer Charges","Asset trade ref 44568","20.000000","0.000000","8","GBP","",""
"2023-09-28","PG00066915","","4656719","2010-06-30","47","Investment Advisor Fee","Investment Advisor Fee","165.310000","0.000000","8","GBP","",""
"2023-09-28","PG00066915","","4656718","2010-06-30","56","Management Fee","Percentage Administration Fee","264.380000","0.000000","8","GBP","",""
"2023-09-28","PG00066915","","4656717","2010-06-30","6","Admin Fee","Flat Administration Fee","75.000000","0.000000","8","GBP","",""
"2023-09-28","PG00066915","","4656716","2010-06-30","43","Interest","Interest","0.000000","7.890000","8","GBP","",""
"2023-09-28","PG00066915","","4656723","2010-09-30","47","Investment Advisor Fee","Investment Advisor Fee","164.610000","0.000000","8","GBP","",""
"2023-09-28","PG00066915","","4656722","2010-09-30","6","Admin Fee","Flat Administration Fee","75.000000","0.000000","8","GBP","",""
"2023-09-28","PG00066915","","4656721","2010-09-30","56","Management Fee","Percentage Administration Fee","264.380000","0.000000","8","GBP","",""
"2023-09-28","PG00066915","","4656720","2010-09-30","43","Interest","Interest","0.000000","1.570000","8","GBP","",""
"2023-09-28","PG00066915","","4656727","2010-12-31","6","Admin Fee","Flat Administration Fee","75.000000","0.000000","8","GBP","",""
"2023-09-28","PG00066915","","4656726","2010-12-31","47","Investment Advisor Fee","Investment Advisor Fee","209.040000","0.000000","8","GBP","",""
"2023-09-28","PG00066915","","4656725","2010-12-31","56","Management Fee","Percentage Administration Fee","264.380000","0.000000","8","GBP","",""
"2023-09-28","PG00066915","","4656724","2010-12-31","43","Interest","Interest","0.000000","1.390000","8","GBP","",""
"2023-09-28","PG00066915","","4656728","2011-02-08","98","Withdrawal","Withdrawal","520.000000","0.000000","8","GBP","",""
"2023-09-28","PG00066915","522227","4656729","2011-03-02","11","Buy Currency","FX Deal: Sell USD 122,333.41 & Buy GBP 74,194.30 (Rate: 0.606492)","0.000000","74194.300000","8","GBP","1.648830000000000000","Bank Reference: 4227599hy"
"2023-09-28","PG00066915","460246","4656730","2011-03-03","13","Buy Variable Security","Buy 75830.022 units of The Caldora Global Property Fund (GBP) Suspended","75268.880000","0.000000","8","GBP","1.000000000000000000","cb"
