"System_Dt","Policy_No","Fund_ID","ISIN","SEDOL","Citi_Code","Fund_Name","Asset_Status_ID","Asset_Status","Fund_Curr_ID","Fund_Curr","Initial_Unit_Holding","Accumulation_Unit_Holding","Fund_Unit_Holding","First_Purchase_Dt","Last_Purchase_Dt","Initial_Price","Accumulation_Price","Nominal_Price","Price_Dt","Investment_Currency_Val","Policy_Currency_Val","Exchange_Rate","Bookcost","Policy_Currency_Book_Cost","Investment_Accrued_Interest","Policy_Accrued_Interest"
"2023-10-01","CL02000272","47109","GB0001531424","0153142","","CT European Smaller Companies Ret Acc GBP","","","8","GBP","0.000","1286.592","","","","9.30070","9.30070","","2023-09-28","11966.210000","11966.210000","1.00000","","","",""
"2023-10-01","CL02000272","47709","GB00B4LPDJ14","B4LPDJ1","","Fundsmith Equity R Acc GBP","","","8","GBP","0.000","4293.444","","","","5.70570","5.70570","","2023-09-28","24497.100000","24497.100000","1.00000","","","",""
"2023-10-01","CL02000272","47823","LU1775980979","BFLV534","","Invesco Sterling Bond A Acc GBP","","","8","GBP","0.000","4866.412","","","","4.80670","4.80670","","2023-09-28","23391.380000","23391.380000","1.00000","","","",""
"2023-10-01","CL02000272","47198","GB00B7FQHJ97","B7FQHJ9","","Fidelity Global Dividend A Acc GBP","","","8","GBP","0.000","5777.323","","","","3.08900","3.08900","","2023-09-28","17846.150000","17846.150000","1.00000","","","",""
"2023-10-01","CL02000272","47208","LU0200077294","B035DJ1","","Janus Henderson Global Equity A2 Acc GBP","","","8","GBP","0.000","2021.350","","","","11.43740","11.43740","","2023-09-28","23118.990000","23118.990000","1.00000","","","",""
"2023-10-01","CL02000272","47168","IE00BVYPNV92","BVYPNV9","","Guinness Global Equity Income C GBP Acc","","","8","GBP","0.000","813.728","","","","21.84810","21.84810","","2023-09-28","17778.410000","17778.410000","1.00000","","","",""
"2023-10-01","CL02000273","47164","LU0049014870","4167688","","Aberdeen Standard Liquidity (Lux) USD A2 Acc","","","16","USD","0.000","2149.775","","","","34.39014","34.39014","","2023-09-28","73931.060000","73931.060000","1.00000","","","",""
"2023-10-01","CL02000336","47709","GB00B4LPDJ14","B4LPDJ1","","Fundsmith Equity R Acc GBP","","","8","GBP","0.000","16934.174","","","","5.70570","5.70570","","2023-09-28","96621.320000","96621.320000","1.00000","","","",""
"2023-10-01","CL02000336","47130","IE00BQXX3C00","BQXX3C0","","Guinness Global Innovators C Acc GBP","","","8","GBP","0.000","5597.769","","","","26.62710","26.62710","","2023-09-28","149052.350000","149052.350000","1.00000","","","",""
"2023-10-01","CL02000336","47823","LU1775980979","BFLV534","","Invesco Sterling Bond A Acc GBP","","","8","GBP","0.000","29324.602","","","","4.80670","4.80670","","2023-09-28","140954.560000","140954.560000","1.00000","","","",""
"2023-10-01","CL02000336","47245","IE00B42N8Z54","B42N8Z5","","Polar Capital Global Technology R GBP","","","8","GBP","0.000","1520.976","","","","58.59000","58.59000","","2023-09-28","89113.980000","89113.980000","1.00000","","","",""
"2023-10-01","CL02000475","47195","LU0772969993","B81SJB2","","Fidelity Funds Global Dividend A Acc USD","","","16","USD","0.000","9761.515","","","","22.11000","22.11000","","2023-09-28","215827.100000","215827.100000","1.00000","","","",""
"2023-10-01","CL02000475","47240","IE00B3K7XK29","B3K7XK2","","PIMCO Global Investment Grade Credit E Acc USD hgd","","","16","USD","0.000","11550.072","","","","16.53000","16.53000","","2023-09-28","190922.690000","190922.690000","1.00000","","","",""
"2023-10-01","CL02000475","47132","IE00BQXX3F31","BQXX3F3","","Guinness Global Innovators C Acc USD","","","16","USD","0.000","5037.045","","","","20.30130","20.30130","","2023-09-28","102258.560000","102258.560000","1.00000","","","",""
"2023-10-01","CL02000475","47917","LU0382932902","B3F1871","","T.Rowe Price Global Growth Equity A USD","","","16","USD","0.000","3295.559","","","","51.56000","51.56000","","2023-09-28","169919.020000","169919.020000","1.00000","","","",""
"2023-10-01","CL02000475","47223","LU0240877869","B0WFY99","","Schroder ISF Global Smaller Companies A Acc USD","","","16","USD","0.000","38749.392","","","","2.36416","2.36416","","2023-09-28","91609.760000","91609.760000","1.00000","","","",""
"2023-10-01","CL02000475","48002","LU0853555463","B92QYN9","","Jupiter Dynamic Bond L USD Hdg Acc","","","16","USD","0.000","16010.239","","","","12.24000","12.24000","","2023-09-28","195965.330000","195965.330000","1.00000","","","",""
"2023-10-01","CL02000507","47240","IE00B3K7XK29","B3K7XK2","","PIMCO Global Investment Grade Credit E Acc USD hgd","","","16","USD","0.000","3837.393","","","","16.53000","16.53000","","2023-09-28","63432.110000","63432.110000","1.00000","","","",""
"2023-10-01","CL02000507","47917","LU0382932902","B3F1871","","T.Rowe Price Global Growth Equity A USD","","","16","USD","0.000","1175.275","","","","51.56000","51.56000","","2023-09-28","60597.180000","60597.180000","1.00000","","","",""
"2023-10-01","CL02000507","47908","LU0210529656","B05MJ70","","JPM Emerging Markets Equity A Acc USD","","","16","USD","0.000","1015.692","","","","26.66000","26.66000","","2023-09-28","27078.350000","27078.350000","1.00000","","","",""
"2023-10-01","CL02000507","47223","LU0240877869","B0WFY99","","Schroder ISF Global Smaller Companies A Acc USD","","","16","USD","0.000","18768.674","","","","2.36416","2.36416","","2023-09-28","44372.150000","44372.150000","1.00000","","","",""
"2023-10-01","CL02000507","47132","IE00BQXX3F31","BQXX3F3","","Guinness Global Innovators C Acc USD","","","16","USD","0.000","2449.623","","","","20.30130","20.30130","","2023-09-28","49730.530000","49730.530000","1.00000","","","",""
"2023-10-01","CL02000507","47195","LU0772969993","B81SJB2","","Fidelity Funds Global Dividend A Acc USD","","","16","USD","0.000","3090.520","","","","22.11000","22.11000","","2023-09-28","68331.400000","68331.400000","1.00000","","","",""
"2023-10-01","CL02000532","47132","IE00BQXX3F31","BQXX3F3","","Guinness Global Innovators C Acc USD","","","16","USD","0.000","1832.441","","","","20.30130","20.30130","","2023-09-28","37200.930000","37200.930000","1.00000","","","",""
"2023-10-01","CL02000532","48002","LU0853555463","B92QYN9","","Jupiter Dynamic Bond L USD Hdg Acc","","","16","USD","0.000","5721.547","","","","12.24000","12.24000","","2023-09-28","70031.740000","70031.740000","1.00000","","","",""
"2023-10-01","CL02000532","47917","LU0382932902","B3F1871","","T.Rowe Price Global Growth Equity A USD","","","16","USD","0.000","1187.538","","","","51.56000","51.56000","","2023-09-28","61229.460000","61229.460000","1.00000","","","",""
"2023-10-01","CL02000532","47195","LU0772969993","B81SJB2","","Fidelity Funds Global Dividend A Acc USD","","","16","USD","0.000","3627.189","","","","22.11000","22.11000","","2023-09-28","80197.150000","80197.150000","1.00000","","","",""
"2023-10-01","CL02000532","47240","IE00B3K7XK29","B3K7XK2","","PIMCO Global Investment Grade Credit E Acc USD hgd","","","16","USD","0.000","4154.274","","","","16.53000","16.53000","","2023-09-28","68670.150000","68670.150000","1.00000","","","",""
"2023-10-01","CL02000532","47223","LU0240877869","B0WFY99","","Schroder ISF Global Smaller Companies A Acc USD","","","16","USD","0.000","13644.424","","","","2.36416","2.36416","","2023-09-28","32257.600000","32257.600000","1.00000","","","",""
"2023-10-01","CL02000569","47195","LU0772969993","B81SJB2","","Fidelity Funds Global Dividend A Acc USD","","","16","USD","0.000","568.284","","","","22.11000","22.11000","","2023-09-28","12564.760000","12564.760000","1.00000","","","",""
"2023-10-01","CL02000569","47917","LU0382932902","B3F1871","","T.Rowe Price Global Growth Equity A USD","","","16","USD","0.000","185.411","","","","51.56000","51.56000","","2023-09-28","9559.790000","9559.790000","1.00000","","","",""
"2023-10-01","CL02000569","47132","IE00BQXX3F31","BQXX3F3","","Guinness Global Innovators C Acc USD","","","16","USD","0.000","281.621","","","","20.30130","20.30130","","2023-09-28","5717.270000","5717.270000","1.00000","","","",""
"2023-10-01","CL02000569","47240","IE00B3K7XK29","B3K7XK2","","PIMCO Global Investment Grade Credit E Acc USD hgd","","","16","USD","0.000","676.955","","","","16.53000","16.53000","","2023-09-28","11190.070000","11190.070000","1.00000","","","",""
"2023-10-01","CL02000569","47223","LU0240877869","B0WFY99","","Schroder ISF Global Smaller Companies A Acc USD","","","16","USD","0.000","2124.337","","","","2.36416","2.36416","","2023-09-28","5022.270000","5022.270000","1.00000","","","",""
"2023-10-01","CL02000569","48002","LU0853555463","B92QYN9","","Jupiter Dynamic Bond L USD Hdg Acc","","","16","USD","0.000","928.327","","","","12.24000","12.24000","","2023-09-28","11362.720000","11362.720000","1.00000","","","",""
"2023-10-01","CL02000796","48307","LU0466842654","B99B2D3","","HSBC Islamic Global Equity Index AC USD","","","16","USD","0.000","1836.495","","","","21.41200","21.41200","","2023-09-28","39323.030000","39323.030000","1.00000","","","",""
"2023-10-01","CL02000796","47143","LU0792757196","B7W8SW8","","Templeton Shariah Global Equity A Acc USD","","","16","USD","0.000","2648.451","","","","15.32000","15.32000","","2023-09-28","40574.270000","40574.270000","1.00000","","","",""
"2023-10-01","CL02000796","47141","LU0792756115","B7PXZP2","","Franklin Global Sukuk A Acc USD","","","16","USD","0.000","2407.026","","","","12.12000","12.12000","","2023-09-28","29173.160000","29173.160000","1.00000","","","",""
"2023-10-01","CL02000848","47208","LU0200077294","B035DJ1","","Janus Henderson Global Equity A2 Acc GBP","","","8","GBP","0.000","2887.923","","","","11.43740","11.43740","","2023-09-28","33030.330000","33030.330000","1.00000","","","",""
"2023-10-01","CL02000848","47709","GB00B4LPDJ14","B4LPDJ1","","Fundsmith Equity R Acc GBP","","","8","GBP","0.000","4524.720","","","","5.70570","5.70570","","2023-09-28","25816.690000","25816.690000","1.00000","","","",""
"2023-10-01","CL02000848","47168","IE00BVYPNV92","BVYPNV9","","Guinness Global Equity Income C GBP Acc","","","8","GBP","0.000","787.670","","","","21.84810","21.84810","","2023-09-28","17209.090000","17209.090000","1.00000","","","",""
"2023-10-01","CL02000848","47198","GB00B7FQHJ97","B7FQHJ9","","Fidelity Global Dividend A Acc GBP","","","8","GBP","0.000","8291.593","","","","3.08900","3.08900","","2023-09-28","25612.730000","25612.730000","1.00000","","","",""
"2023-10-01","CL02000848","48004","LU0853555547","B92QYP1","","Jupiter Dynamic Bond L GBP Hdg Acc","","","8","GBP","0.000","3314.428","","","","9.65000","9.65000","","2023-09-28","31984.230000","31984.230000","1.00000","","","",""
"2023-10-01","CL02000848","47823","LU1775980979","BFLV534","","Invesco Sterling Bond A Acc GBP","","","8","GBP","0.000","6769.418","","","","4.80670","4.80670","","2023-09-28","32538.560000","32538.560000","1.00000","","","",""
"2023-10-01","CL10000438","47823","LU1775980979","BFLV534","","Invesco Sterling Bond A Acc GBP","","","8","GBP","0.000","1024.608","","","","4.80670","4.80670","","2023-09-28","4924.980000","4924.980000","1.00000","","","",""
"2023-10-01","CL10000438","47198","GB00B7FQHJ97","B7FQHJ9","","Fidelity Global Dividend A Acc GBP","","","8","GBP","0.000","1972.309","","","","3.08900","3.08900","","2023-09-28","6092.460000","6092.460000","1.00000","","","",""
